urls,epg,playertype,logo,ua,url,ext,pass,timeout,api,catchup,type,name
,,2,,,http://127.0.0.1:9978/proxy?do=live&url=https://tv.iill.top/m3u/Gather,,,,,,0,直播
,,2,,,https://live.fanmingming.com/tv/m3u/ipv6.m3u,,,,,,0,范明明
,,,https://live.fanmingming.com/tv/{name}.png,,,./live.txt,,,csp_Ysptp,,3,肥羊
,http://epg.112114.xyz/?ch={name}&date={date},1,https://epg.112114.xyz/logo/{name}.png,okhttp/3.15,./live/live3.txt,,,,,,0,live
,http://epg.112114.xyz/?ch={name}&date={date},1,https://epg.112114.xyz/logo/{name}.png,okhttp/3.15,http://yydf.540734621.xyz/wx/zb/chunyingzhibo.txt,,,,,,0,春盈
,http://epg.112114.xyz/?ch={name}&date={date},1,https://epg.112114.xyz/logo/{name}.png,okhttp/3.15,https://live.fanmingming.com/tv/m3u/ipv6.m3u,,,,,,0,IPV6
,,1,,,https://ghp.ci/raw.githubusercontent.com/MemoryCollection/IPTV/refs/heads/main/itvlist.m3u,,,,,,0,IPV4
,,1,,,https://ghp.ci/https://raw.githubusercontent.com/fanmingming/live/refs/heads/main/tv/m3u/ipv6.m3u,,,,,,0,IPV6①
,,1,https://live.fanmingming.com/tv/{name}.png,,https://ghp.ci/https://raw.githubusercontent.com/wwb521/live/main/tv.m3u,,,,,,0,IPV6②
,,2,,okhttp/3.15,https://tv.iill.top/m3u/Live,,,,,,0,平台直播
['proxy://do=live&type=txt&ext='],,,,,,,,,,,,live
,,1,https://live.fanmingming.com/tv/{name}.png,,https://livetv.wqwqwq.sbs/tv.m3u,,,,,,0,央卫
,,1,,,https://github.moeyy.xyz/https://raw.githubusercontent.com/wwb521/live/main/tv.m3u,,,,,,0,V4聚合（卡顿请按左┃右键换线）
,,1,https://live.fanmingming.com/tv/{name}.png,,https://live.fanmingming.com/tv/m3u/ipv6.m3u,,,,,,0,IPV6
,http://epg.112114.xyz/?ch={name}&date={date},2,https://epg.112114.xyz/logo/{name}.png,,./list.txt,,,,,,0,初秋语
,http://epg.112114.xyz/?ch={name}&date={date},1,https://epg.112114.xyz/logo/{name}.png,,https://github.moeyy.xyz/https://raw.githubusercontent.com/dxawi/0/main/tvlive.txt,,,,,,0,Ray
,http://epg.112114.xyz/?ch={name}&date={date},,https://epg.112114.xyz/logo/{name}.png,okhttp,https://tv.菜妮丝.top/lives/IPv6.php,,,,,,0,IPv6
,,2,,,http://127.0.0.1:9978/proxy?do=live&url=https://fs-im-kefu.7moor-fs1.com/ly/4d2c3f00-7d4c-11e5-af15-41bf63ae4ea0/1740592110565/zq.fif.txt,,,10,,"{'type': 'append', 'source': ""&starttime=${(b)yyyyMMdd'T'HHmm}00.00Z&endtime=${(e)yyyyMMdd'T'HHmm}00.00Z""}",0,国内Live
,,2,,,http://127.0.0.1:9978/proxy?do=live&url=https://fs-im-kefu.7moor-fs1.com/ly/4d2c3f00-7d4c-11e5-af15-41bf63ae4ea0/1739616589773/zq.txt,,,10,,"{'type': 'append', 'source': ""&starttime=${(b)yyyyMMdd'T'HHmm}00.00Z&endtime=${(e)yyyyMMdd'T'HHmm}00.00Z""}",0,国内移动
